,relStudies
https://www.icpsr.umich.edu/web/ICPSR/studies/3184,248
https://www.icpsr.umich.edu/web/ICPSR/studies/3817,248
https://www.icpsr.umich.edu/web/ICPSR/studies/7635,247
https://www.icpsr.umich.edu/web/ICPSR/studies/36423,244
https://www.icpsr.umich.edu/web/ICPSR/studies/8375,243
https://www.icpsr.umich.edu/web/ICPSR/studies/37242,242
https://www.icpsr.umich.edu/web/ICPSR/studies/37271,242
https://www.icpsr.umich.edu/web/ICPSR/studies/37272,242
https://www.icpsr.umich.edu/web/ICPSR/studies/2751,240
https://www.icpsr.umich.edu/web/ICPSR/studies/2939,240
https://www.icpsr.umich.edu/web/ICPSR/studies/3804,240
https://www.icpsr.umich.edu/web/ICPSR/studies/8443,236
https://www.icpsr.umich.edu/web/ICPSR/studies/3425,235
https://www.icpsr.umich.edu/web/ICPSR/studies/3753,235
https://www.icpsr.umich.edu/web/ICPSR/studies/4536,234
https://www.icpsr.umich.edu/web/ICPSR/series/128,234
https://www.icpsr.umich.edu/web/ICPSR/studies/4019,234
https://www.icpsr.umich.edu/web/ICPSR/studies/6244,234
https://www.icpsr.umich.edu/web/ICPSR/studies/4264,230
https://www.icpsr.umich.edu/web/ICPSR/studies/7900,230
https://www.icpsr.umich.edu/web/ICPSR/studies/6448,230
https://www.icpsr.umich.edu/web/ICPSR/studies/8429,230
https://www.icpsr.umich.edu/web/ICPSR/studies/35167,228
https://www.icpsr.umich.edu/web/ICPSR/series/135,227
https://www.icpsr.umich.edu/web/ICPSR/studies/9927,227
https://www.icpsr.umich.edu/web/ICPSR/studies/9045,226
https://www.icpsr.umich.edu/web/ICPSR/series/35,226
https://www.icpsr.umich.edu/web/ICPSR/studies/37279,225
https://www.icpsr.umich.edu/web/ICPSR/studies/31901,225
https://www.icpsr.umich.edu/web/ICPSR/studies/7928,224
https://www.icpsr.umich.edu/web/ICPSR/studies/3012,223
https://www.icpsr.umich.edu/web/ICPSR/studies/7836,222
https://www.icpsr.umich.edu/web/ICPSR/studies/7784,222
https://www.icpsr.umich.edu/web/ICPSR/studies/34933,221
https://www.icpsr.umich.edu/web/ICPSR/studies/7684,221
https://www.icpsr.umich.edu/web/ICPSR/studies/7930,221
https://www.icpsr.umich.edu/web/ICPSR/studies/9013,220
https://www.icpsr.umich.edu/web/ICPSR/studies/7929,219
https://www.icpsr.umich.edu/web/ICPSR/studies/8388,218
https://www.icpsr.umich.edu/web/ICPSR/studies/24881,218
https://www.icpsr.umich.edu/web/ICPSR/studies/8424,218
https://www.icpsr.umich.edu/web/ICPSR/studies/7685,218
https://www.icpsr.umich.edu/web/ICPSR/studies/8506,217
https://www.icpsr.umich.edu/web/ICPSR/studies/3023,215
https://www.icpsr.umich.edu/web/ICPSR/studies/36231,214
https://www.icpsr.umich.edu/web/ICPSR/studies/8701,213
https://www.icpsr.umich.edu/web/ICPSR/studies/8512,213
https://www.icpsr.umich.edu/web/ICPSR/studies/8546,212
https://www.icpsr.umich.edu/web/ICPSR/studies/32122,212
https://www.icpsr.umich.edu/web/ICPSR/studies/38085,211
https://www.icpsr.umich.edu/web/ICPSR/studies/4549,211
https://www.icpsr.umich.edu/web/ICPSR/studies/8387,211
https://www.icpsr.umich.edu/web/ICPSR/studies/7927,211
https://www.icpsr.umich.edu/web/ICPSR/series/106,209
https://www.icpsr.umich.edu/web/ICPSR/studies/4,208
https://www.icpsr.umich.edu/web/ICPSR/studies/3447,208
https://www.icpsr.umich.edu/web/ICPSR/studies/7859,207
https://www.icpsr.umich.edu/web/ICPSR/studies/8703,206
https://www.icpsr.umich.edu/web/ICPSR/studies/6461,206
https://www.icpsr.umich.edu/web/ICPSR/studies/9079,203
https://www.icpsr.umich.edu/web/ICPSR/studies/34658,202
https://www.icpsr.umich.edu/web/ICPSR/studies/8969,202
https://www.icpsr.umich.edu/web/ICPSR/studies/7566,202
https://www.icpsr.umich.edu/web/ICPSR/studies/3385,202
https://www.icpsr.umich.edu/web/ICPSR/studies/7700,201
https://www.icpsr.umich.edu/web/ICPSR/studies/4538,201
https://www.icpsr.umich.edu/web/ICPSR/studies/6399,201
https://www.icpsr.umich.edu/web/ICPSR/studies/8896,200
https://www.icpsr.umich.edu/web/ICPSR/studies/9259,198
https://www.icpsr.umich.edu/web/ICPSR/studies/9397,198
https://www.icpsr.umich.edu/web/ICPSR/studies/6960,198
https://www.icpsr.umich.edu/web/ICPSR/studies/28581,198
https://www.icpsr.umich.edu/web/ICPSR/studies/20022,198
https://www.icpsr.umich.edu/web/ICPSR/studies/9854,196
https://www.icpsr.umich.edu/web/ICPSR/series/64,196
https://www.icpsr.umich.edu/web/ICPSR/studies/3,195
https://www.icpsr.umich.edu/web/ICPSR/studies/35596,194
https://www.icpsr.umich.edu/web/ICPSR/studies/9915,194
https://www.icpsr.umich.edu/web/ICPSR/studies/9745,194
https://www.icpsr.umich.edu/web/ICPSR/studies/32721,194
https://www.icpsr.umich.edu/web/ICPSR/studies/2038,193
https://www.icpsr.umich.edu/web/ICPSR/studies/2957,193
https://www.icpsr.umich.edu/web/ICPSR/studies/30263,193
https://www.icpsr.umich.edu/web/ICPSR/studies/36997,192
https://www.icpsr.umich.edu/web/ICPSR/studies/22926,188
https://www.icpsr.umich.edu/web/ICPSR/studies/6692,188
https://www.icpsr.umich.edu/web/ICPSR/studies/9466,187
https://www.icpsr.umich.edu/web/ICPSR/studies/22927,186
https://www.icpsr.umich.edu/web/ICPSR/studies/9112,186
https://www.icpsr.umich.edu/web/ICPSR/studies/36453,185
https://www.icpsr.umich.edu/web/ICPSR/studies/9477,185
https://www.icpsr.umich.edu/web/ICPSR/studies/22925,185
https://www.icpsr.umich.edu/web/ICPSR/studies/22480,183
https://www.icpsr.umich.edu/web/ICPSR/studies/8344,183
https://www.icpsr.umich.edu/web/ICPSR/studies/7564,183
https://www.icpsr.umich.edu/web/ICPSR/studies/3183,182
https://www.icpsr.umich.edu/web/ICPSR/studies/25505,181
https://www.icpsr.umich.edu/web/ICPSR/studies/3582,181
https://www.icpsr.umich.edu/web/ICPSR/studies/3580,181
https://www.icpsr.umich.edu/web/ICPSR/studies/8917,181
https://www.icpsr.umich.edu/web/ICPSR/series/15,180
https://www.icpsr.umich.edu/web/ICPSR/studies/22924,179
https://www.icpsr.umich.edu/web/ICPSR/studies/4102,178
https://www.icpsr.umich.edu/web/ICPSR/studies/2684,178
https://www.icpsr.umich.edu/web/ICPSR/studies/3158,178
https://www.icpsr.umich.edu/web/ICPSR/studies/7565,177
https://www.icpsr.umich.edu/web/ICPSR/studies/26841,177
https://www.icpsr.umich.edu/web/ICPSR/studies/2566,176
https://www.icpsr.umich.edu/web/ICPSR/studies/6170,176
https://www.icpsr.umich.edu/web/ICPSR/studies/2598,176
https://www.icpsr.umich.edu/web/ICPSR/studies/22921,175
https://www.icpsr.umich.edu/web/ICPSR/studies/8535,175
https://www.icpsr.umich.edu/web/ICPSR/studies/22928,175
https://www.icpsr.umich.edu/web/ICPSR/studies/3426,175
https://www.icpsr.umich.edu/web/ICPSR/studies/3723,174
https://www.icpsr.umich.edu/web/ICPSR/studies/32961,173
https://www.icpsr.umich.edu/web/ICPSR/studies/4157,173
https://www.icpsr.umich.edu/web/ICPSR/studies/7931,173
https://www.icpsr.umich.edu/web/ICPSR/studies/22923,171
https://www.icpsr.umich.edu/web/ICPSR/studies/29462,170
https://www.icpsr.umich.edu/web/ICPSR/studies/2940,170
https://www.icpsr.umich.edu/web/ICPSR/studies/182,169
https://www.icpsr.umich.edu/web/ICPSR/studies/7676,169
https://www.icpsr.umich.edu/web/ICPSR/studies/7341,168
https://www.icpsr.umich.edu/web/ICPSR/studies/35527,167
https://www.icpsr.umich.edu/web/ICPSR/studies/4314,167
https://www.icpsr.umich.edu/web/ICPSR/studies/2752,167
https://www.icpsr.umich.edu/web/ICPSR/studies/25382,166
https://www.icpsr.umich.edu/web/ICPSR/studies/36164,166
https://www.icpsr.umich.edu/web/ICPSR/studies/7563,166
https://www.icpsr.umich.edu/web/ICPSR/studies/4704,166
https://www.icpsr.umich.edu/web/ICPSR/studies/4018,165
https://www.icpsr.umich.edu/web/ICPSR/studies/2904,164
https://www.icpsr.umich.edu/web/ICPSR/studies/6907,164
https://www.icpsr.umich.edu/web/ICPSR/studies/8328,162
https://www.icpsr.umich.edu/web/ICPSR/studies/2476,162
https://www.icpsr.umich.edu/web/ICPSR/studies/2258,162
https://www.icpsr.umich.edu/web/ICPSR/studies/22922,162
https://www.icpsr.umich.edu/web/ICPSR/studies/6706,161
https://www.icpsr.umich.edu/web/ICPSR/studies/2524,161
https://www.icpsr.umich.edu/web/ICPSR/studies/3262,161
https://www.icpsr.umich.edu/web/ICPSR/studies/3752,160
https://www.icpsr.umich.edu/web/ICPSR/studies/36455,160
https://www.icpsr.umich.edu/web/ICPSR/studies/31161,158
https://www.icpsr.umich.edu/web/ICPSR/studies/9473,158
https://www.icpsr.umich.edu/web/ICPSR/studies/22901,158
https://www.icpsr.umich.edu/web/ICPSR/studies/4008,158
https://www.icpsr.umich.edu/web/ICPSR/studies/31521,157
https://www.icpsr.umich.edu/web/ICPSR/studies/6036,157
https://www.icpsr.umich.edu/web/ICPSR/studies/7607,156
https://www.icpsr.umich.edu/web/ICPSR/studies/4124,156
https://www.icpsr.umich.edu/web/ICPSR/studies/4459,155
https://www.icpsr.umich.edu/web/ICPSR/studies/9785,154
https://www.icpsr.umich.edu/web/ICPSR/studies/2350,154
https://www.icpsr.umich.edu/web/ICPSR/studies/2154,152
https://www.icpsr.umich.edu/web/ICPSR/studies/2390,152
https://www.icpsr.umich.edu/web/ICPSR/studies/30985,152
https://www.icpsr.umich.edu/web/ICPSR/studies/4411,151
https://www.icpsr.umich.edu/web/ICPSR/studies/2475,151
https://www.icpsr.umich.edu/web/ICPSR/studies/7562,151
https://www.icpsr.umich.edu/web/ICPSR/studies/31202,151
https://www.icpsr.umich.edu/web/ICPSR/studies/6961,150
https://www.icpsr.umich.edu/web/ICPSR/studies/22900,150
https://www.icpsr.umich.edu/web/ICPSR/studies/4721,150
https://www.icpsr.umich.edu/web/ICPSR/studies/4263,150
https://www.icpsr.umich.edu/web/ICPSR/studies/22902,150
https://www.icpsr.umich.edu/web/ICPSR/studies/3843,150
https://www.icpsr.umich.edu/web/ICPSR/series/233,150
https://www.icpsr.umich.edu/web/ICPSR/studies/28543,150
https://www.icpsr.umich.edu/web/ICPSR/studies/37147,148
https://www.icpsr.umich.edu/web/ICPSR/series/39,148
https://www.icpsr.umich.edu/web/ICPSR/studies/8864,148
https://www.icpsr.umich.edu/web/ICPSR/studies/22400,148
https://www.icpsr.umich.edu/web/ICPSR/series/166,148
https://www.icpsr.umich.edu/web/ICPSR/studies/7987,148
https://www.icpsr.umich.edu/web/ICPSR/studies/35197,148
https://www.icpsr.umich.edu/web/ICPSR/studies/7561,147
https://www.icpsr.umich.edu/web/ICPSR/studies/38257,147
https://www.icpsr.umich.edu/web/ICPSR/studies/2523,147
https://www.icpsr.umich.edu/web/ICPSR/studies/4537,146
https://www.icpsr.umich.edu/web/ICPSR/studies/2522,146
https://www.icpsr.umich.edu/web/ICPSR/studies/22920,146
https://www.icpsr.umich.edu/web/ICPSR/studies/28401,145
https://www.icpsr.umich.edu/web/ICPSR/studies/3565,145
https://www.icpsr.umich.edu/web/ICPSR/studies/7398,145
https://www.icpsr.umich.edu/web/ICPSR/studies/6799,144
https://www.icpsr.umich.edu/web/ICPSR/studies/7315,144
https://www.icpsr.umich.edu/web/ICPSR/studies/4075,144
https://www.icpsr.umich.edu/web/ICPSR/studies/9480,143
https://www.icpsr.umich.edu/web/ICPSR/studies/37105,142
https://www.icpsr.umich.edu/web/ICPSR/studies/7573,141
https://www.icpsr.umich.edu/web/ICPSR/studies/22746,141
https://www.icpsr.umich.edu/web/ICPSR/series/253,141
https://www.icpsr.umich.edu/web/ICPSR/studies/23380,141
https://www.icpsr.umich.edu/web/ICPSR/studies/6546,140
https://www.icpsr.umich.edu/web/ICPSR/studies/6319,140
https://www.icpsr.umich.edu/web/ICPSR/studies/8317,140
https://www.icpsr.umich.edu/web/ICPSR/studies/36179,140
https://www.icpsr.umich.edu/web/ICPSR/studies/9836,139
https://www.icpsr.umich.edu/web/ICPSR/studies/35509,139
https://www.icpsr.umich.edu/web/ICPSR/studies/25101,139
https://www.icpsr.umich.edu/web/ICPSR/studies/2521,139
https://www.icpsr.umich.edu/web/ICPSR/studies/6320,138
https://www.icpsr.umich.edu/web/ICPSR/studies/22560,138
https://www.icpsr.umich.edu/web/ICPSR/studies/176,138
https://www.icpsr.umich.edu/web/ICPSR/studies/26382,138
https://www.icpsr.umich.edu/web/ICPSR/studies/2392,138
https://www.icpsr.umich.edu/web/ICPSR/studies/2702,137
https://www.icpsr.umich.edu/web/ICPSR/studies/8058,136
https://www.icpsr.umich.edu/web/ICPSR/studies/34409,136
https://www.icpsr.umich.edu/web/ICPSR/studies/8451,136
https://www.icpsr.umich.edu/web/ICPSR/studies/36696,136
https://www.icpsr.umich.edu/web/ICPSR/studies/2201,136
https://www.icpsr.umich.edu/web/ICPSR/studies/22760,135
https://www.icpsr.umich.edu/web/ICPSR/studies/9805,135
https://www.icpsr.umich.edu/web/ICPSR/studies/3448,135
https://www.icpsr.umich.edu/web/ICPSR/studies/33526,135
https://www.icpsr.umich.edu/web/ICPSR/studies/27101,135
https://www.icpsr.umich.edu/web/ICPSR/studies/3337,135
https://www.icpsr.umich.edu/web/ICPSR/studies/7367,134
https://www.icpsr.umich.edu/web/ICPSR/studies/3381,134
https://www.icpsr.umich.edu/web/ICPSR/studies/9580,134
https://www.icpsr.umich.edu/web/ICPSR/studies/4245,133
https://www.icpsr.umich.edu/web/ICPSR/studies/6861,133
https://www.icpsr.umich.edu/web/ICPSR/studies/37221,133
https://www.icpsr.umich.edu/web/ICPSR/studies/27648,132
https://www.icpsr.umich.edu/web/ICPSR/studies/2573,131
https://www.icpsr.umich.edu/web/ICPSR/studies/3085,130
https://www.icpsr.umich.edu/web/ICPSR/studies/35519,130
https://www.icpsr.umich.edu/web/ICPSR/studies/6316,129
https://www.icpsr.umich.edu/web/ICPSR/studies/36532,129
https://www.icpsr.umich.edu/web/ICPSR/studies/4402,128
https://www.icpsr.umich.edu/web/ICPSR/studies/4574,128
https://www.icpsr.umich.edu/web/ICPSR/studies/21661,128
https://www.icpsr.umich.edu/web/ICPSR/studies/34061,127
https://www.icpsr.umich.edu/web/ICPSR/studies/25141,126
https://www.icpsr.umich.edu/web/ICPSR/studies/13580,126
https://www.icpsr.umich.edu/web/ICPSR/studies/3722,125
https://www.icpsr.umich.edu/web/ICPSR/studies/4176,125
https://www.icpsr.umich.edu/web/ICPSR/studies/22929,124
https://www.icpsr.umich.edu/web/ICPSR/studies/2448,124
https://www.icpsr.umich.edu/web/ICPSR/studies/7559,123
https://www.icpsr.umich.edu/web/ICPSR/studies/30766,123
https://www.icpsr.umich.edu/web/ICPSR/studies/36144,123
https://www.icpsr.umich.edu/web/ICPSR/studies/2824,123
https://www.icpsr.umich.edu/web/ICPSR/studies/30282,123
https://www.icpsr.umich.edu/web/ICPSR/studies/6850,123
https://www.icpsr.umich.edu/web/ICPSR/studies/3451,123
https://www.icpsr.umich.edu/web/ICPSR/studies/4679,122
https://www.icpsr.umich.edu/web/ICPSR/studies/2613,122
https://www.icpsr.umich.edu/web/ICPSR/studies/2700,122
https://www.icpsr.umich.edu/web/ICPSR/studies/34626,121
https://www.icpsr.umich.edu/web/ICPSR/studies/2194,121
https://www.icpsr.umich.edu/web/ICPSR/studies/9839,121
https://www.icpsr.umich.edu/web/ICPSR/studies/9948,121
https://www.icpsr.umich.edu/web/ICPSR/studies/3029,120
https://www.icpsr.umich.edu/web/ICPSR/studies/22100,120
https://www.icpsr.umich.edu/web/ICPSR/studies/3306,120
https://www.icpsr.umich.edu/web/ICPSR/studies/3239,120
https://www.icpsr.umich.edu/web/ICPSR/studies/7560,119
https://www.icpsr.umich.edu/web/ICPSR/studies/6257,119
https://www.icpsr.umich.edu/web/ICPSR/studies/34312,118
https://www.icpsr.umich.edu/web/ICPSR/studies/37301,118
https://www.icpsr.umich.edu/web/ICPSR/studies/34861,118
https://www.icpsr.umich.edu/web/ICPSR/studies/4465,118
https://www.icpsr.umich.edu/web/ICPSR/studies/22627,118
https://www.icpsr.umich.edu/web/ICPSR/studies/22401,118
https://www.icpsr.umich.edu/web/ICPSR/studies/4606,118
https://www.icpsr.umich.edu/web/ICPSR/studies/34305,117
https://www.icpsr.umich.edu/web/ICPSR/studies/6881,117
https://www.icpsr.umich.edu/web/ICPSR/studies/6647,117
https://www.icpsr.umich.edu/web/ICPSR/studies/6669,117
https://www.icpsr.umich.edu/web/ICPSR/studies/6299,117
https://www.icpsr.umich.edu/web/ICPSR/studies/9252,117
https://www.icpsr.umich.edu/web/ICPSR/studies/4640,117
https://www.icpsr.umich.edu/web/ICPSR/studies/9573,117
https://www.icpsr.umich.edu/web/ICPSR/studies/36724,117
https://www.icpsr.umich.edu/web/ICPSR/studies/3999,116
https://www.icpsr.umich.edu/web/ICPSR/studies/6823,116
https://www.icpsr.umich.edu/web/ICPSR/studies/3927,116
https://www.icpsr.umich.edu/web/ICPSR/studies/1,116
https://www.icpsr.umich.edu/web/ICPSR/studies/20180,116
https://www.icpsr.umich.edu/web/ICPSR/studies/34540,116
https://www.icpsr.umich.edu/web/ICPSR/studies/6068,115
https://www.icpsr.umich.edu/web/ICPSR/studies/34650,115
https://www.icpsr.umich.edu/web/ICPSR/studies/18,115
https://www.icpsr.umich.edu/web/ICPSR/studies/3605,115
https://www.icpsr.umich.edu/web/ICPSR/studies/35021,115
https://www.icpsr.umich.edu/web/ICPSR/studies/28023,115
https://www.icpsr.umich.edu/web/ICPSR/studies/37106,115
https://www.icpsr.umich.edu/web/ICPSR/studies/9723,115
https://www.icpsr.umich.edu/web/ICPSR/studies/4723,115
https://www.icpsr.umich.edu/web/ICPSR/studies/9724,114
https://www.icpsr.umich.edu/web/ICPSR/studies/33444,114
https://www.icpsr.umich.edu/web/ICPSR/studies/4125,114
https://www.icpsr.umich.edu/web/ICPSR/studies/6400,114
https://www.icpsr.umich.edu/web/ICPSR/studies/3160,114
https://www.icpsr.umich.edu/web/ICPSR/studies/29583,113
https://www.icpsr.umich.edu/web/ICPSR/studies/8055,113
https://www.icpsr.umich.edu/web/ICPSR/studies/34899,113
https://www.icpsr.umich.edu/web/ICPSR/studies/25041,113
https://www.icpsr.umich.edu/web/ICPSR/studies/9812,113
https://www.icpsr.umich.edu/web/ICPSR/studies/36873,112
https://www.icpsr.umich.edu/web/ICPSR/studies/4248,112
https://www.icpsr.umich.edu/web/ICPSR/studies/30767,112
https://www.icpsr.umich.edu/web/ICPSR/studies/34586,112
https://www.icpsr.umich.edu/web/ICPSR/studies/3449,112
https://www.icpsr.umich.edu/web/ICPSR/studies/3162,112
https://www.icpsr.umich.edu/web/ICPSR/studies/178,112
